,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
UKJ37,North Hampshire,17037,17491,18744,19526,21042,21483,22939,23934,24812,26349,27279,26581,27015,27427,27638,29473,30854,30267,30697,31167
UKJ41,Medway,11055,11416,11785,12092,12860,13535,13853,14590,15086,15059,15487,15073,15364,15254,16155,16733,17015,18311,18710,19205
UKJ43,Kent Thames Gateway,13696,13909,13743,14250,14926,16075,16406,16996,17174,17802,18711,17304,17791,18184,18727,19366,20255,21115,21488,21955
UKJ44,East Kent,12657,12719,12847,13385,14095,14765,15242,16048,16571,17213,18250,17240,17325,17623,17521,17839,18077,18085,18332,19258
UKJ45,Mid Kent,15260,15458,15617,16218,17171,18359,18904,19820,20184,21093,21936,21001,21342,21411,21632,21851,22114,22652,23812,24296
UKJ46,West Kent,15575,15734,15922,16602,17610,18659,19315,20675,21040,21707,22847,21866,22541,23041,23386,24231,25874,27171,28054,29057
UKK11,"Bristol, City of",18698,19342,19628,21122,22227,22387,23188,23742,24752,26355,26610,26858,28130,27358,27971,28680,30554,30639,30806,31458
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",14584,14942,15776,17203,17938,19332,19931,20942,21431,22279,23385,23098,23949,24427,25037,25790,27357,27072,27749,27931
UKK13,Gloucestershire,14704,15396,16422,16984,17842,19158,20132,20101,20313,21480,21564,21719,22366,22698,23468,24060,25482,25683,25609,26248
UKK14,Swindon,22835,23346,23758,25377,25578,26121,26910,28536,29622,31525,31896,31420,30033,30555,30647,31749,31204,31582,33517,33564
UKK15,Wiltshire ,13476,13934,14533,15341,15979,16013,16631,16971,17690,18735,19570,19072,19456,19153,19626,19850,21375,21593,21991,22612
UKK21,Bournemouth and Poole,14324,14810,15785,16104,16551,17820,18154,19425,20152,20620,21066,21343,20533,20424,20959,21780,22595,22902,23696,24667
UKK22,Dorset CC,12556,13523,14104,14124,14189,14641,15191,15819,16163,16620,17821,17171,17092,17338,17725,17773,18783,18691,18973,19592
UKK23,Somerset,12365,12934,13524,13633,14031,14693,15500,16404,17349,17263,17715,17198,17471,17647,17912,18280,19162,19611,20100,20400
UKK30,Cornwall and Isles of Scilly,9825,9890,10517,11039,11758,12781,13123,13846,14535,14746,15544,14763,14884,15009,15553,15971,16196,16651,17392,17634
UKK41,Plymouth,12119,12487,13184,13443,13909,14237,15297,15870,16631,16993,17037,16264,16774,17169,18212,18828,18909,19002,19319,19970
UKK42,Torbay,11445,11411,11366,11273,11240,12125,13233,13504,14276,14254,14762,13574,14049,14342,14512,14704,14995,15108,14974,15512
